,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,Description,PhotoAmt,AdoptionSpeed
7374,Dog,54,Mixed Breed,Male,Brown,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,"i rescued him on feb,he waiting outside everyday,looks pity when raining time,shaking body and catch cold,after next morning,i decide to rescued him and put in my friend shelther for temparory,he not able to take care,so hope can help him to find a forever home,he is very playful and tender dog.",2,4
7134,Dog,20,Maltese,Female,White,No Color,Small,Medium,Yes,Yes,Healthy,400,"We purchased Nico when she was about 3 months old. We've had her for one and a half years. Are making plans to relocate, so we have to give her up. She is a very happy and friendly dog.",2,1
7989,Dog,12,Mixed Breed,Female,Cream,No Color,Small,Medium,Yes,No,Healthy,0,owner unable to take care. should shave after spaying.,3,1
8778,Dog,72,Cocker Spaniel,Male,Brown,Golden,Medium,Long,Not Sure,No,Healthy,0,"He is a charming and happy dog that wondered around my house area in Taman Taynton View, Cheras. We brough him in cause he was sitting our gate outside, smilling and wagging his tail waiting someone to open the gate under hot sun. We will not able to keep him for long as we have another dog who is super bad tempered and might be hurt Oldie anytime. Please help this poor soul find him the owner, or give him a loving home. He is super super loving and caring dog, who requires a loving family willing to place him indoor and love him eternally. Give him a home, give him the love. Please do sms, no calls will be entertain.",6,2
6028,Dog,3,Mixed Breed,Female,Brown,White,Medium,Medium,Not Sure,No,Healthy,0,"Adorable,playful and happy.She has a very special 3 colour tail. No tying or caging for long hours except for precautionary purposes. Commitment to spay her is compulsory Serious adopter pls call me or ",7,3
9010,Dog,9,Labrador Retriever,Female,Black,White,Large,Short,Yes,Yes,Healthy,300,Luna is very loving and a good watch dog. She walks well on leash. Obedient and loves to learn new things. Love food. She is spayed and looking for a family to share her love.,4,4
1269,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,For Adoption,2,3
10696,Cat,2,Domestic Short Hair,Male,Black,Gray,Small,Short,No,No,Healthy,0,"2Month old male kitten looking for new house he is toilet train, activate, adorable....... I'm unable to keep this kitten and the mother as i already have 5cats in the house...... Term & Con : Must be adopt with the mother",4,2
10202,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,"Mimi was rescued by us, together with her three siblings and mum, from the street when she was one-week old. We've been fostering the family for two months and she's now ready for adoption. Her other siblings have been successfully rehomed. She's an adorable and playful puppy. Excellent as a companion and pet. She's also been trained to poo and pee in toilet and on grassy area. Please consider giving her a forever home.",1,4
1239,Dog,4,German Shepherd Dog,Male,Brown,No Color,Small,Medium,Not Sure,Not Sure,Healthy,150,Loyal,0,4
9557,Dog,6,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,Female puppy rescued by my Friend. Please contact me or Mr Andrew at if you can provide a forever loving home to her.,1,4
9684,Cat,12,Domestic Short Hair,Male,Golden,No Color,Medium,Short,Yes,No,Healthy,0,for inquiries please contact,5,4
4409,Cat,9,Persian,Male,Black,Gray,Large,Long,Yes,Yes,Healthy,0,Omie is very manja & a very good boy. The reason why we're giving away our cats (Dolly & Omie) is because I'm expecting & I don't think having pets at home is appropriate when the baby arrives.,3,0
398,Cat,12,Domestic Long Hair,Male,Golden,No Color,Medium,Long,Yes,Not Sure,Healthy,0,i'm looking for a new owner for my cat A.S.A.P b'coz i'm not able to take care of them in a small flat anymore..it is not a proper place to keep my pets.curerently i had 7 of them in my house and i had no one to take care of them while i'm working or outstation..anyone interested can contact me..,5,1
9894,Cat,6,Calico,Female,Black,Brown,Medium,Short,No,Yes,Healthy,0,Sweet rescued kitten for adoption. Please contact Jean at if you can give her a loving forever home.,2,4
2628,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,These puppies are rescued in Sungai Long . They need a forever loving home . Please give them a chance =),1,4
5851,Dog,2,Mixed Breed,Male,Brown,White,Small,Short,Yes,No,Healthy,0,"Dodo was abandoned at the roadside and taken to the vet clinic for a check up; he's still boarding at the vet as we don't have enough space to keep him. He is 2 months old, mix breed, will be vaccinated at the vet and dewormed. He's playful and lovable. Please, give him a loving home!",6,1
3366,Dog,12,Spitz,Female,White,No Color,Small,Long,Not Sure,Not Sure,Healthy,0,"This poor thing was found wandering in our neighbourhood area today. She has a blue collar on, her long white coat was coarse and dirty,so we assume she's been lost for sometime now. So anyone interested in adopting her pls come forward ASAP. She's been boarded at a local veterinary clinic, but she'll be sent to the malacca SPCA tomorrow evening.",4,1
4438,Cat,15,American Wirehair,Female,Black,Brown,Small,Medium,No,No,Healthy,0,"the cat is rescued from a hit and run accident and she has fully recovered now. still staying at the clinic as I do not know where to send her to. She is a very manja girl, she is quiet and wont run around.",5,2
8418,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,the breed i ticked was my random choose. actually it is born by stray dog. hope somebody has fate with her and like her.,1,4
3588,Dog,12,Mixed Breed,Female,Brown,Golden,Small,Short,Not Sure,Not Sure,Healthy,0,"There is a female dog wandering around Taman Bercham Jaya,ipoh,perak. She wears a pink collar with a small bell. So I assume she might be abandoned or lost. She sleeps under vehicles to avoid hot sun and rain. Anyone who is her owner or wants to adopt her please contact me. She is very active and playful. Thanks. Please help this poor thing ----------- She is currently being foster by IAWS shelter temporary. She is an adorable innocent furry kid. Anyone who wants to give her a new home and love her please contact me.",5,2
6601,Cat,3,Domestic Short Hair,Female,Cream,White,Medium,Short,Yes,No,Healthy,50,"Darling was born on .. she is white with blue eyes and long tail, she is toilette trained, very healthy and playful. If you are able to take care of her, give her food, play with her, bring her to the vet and let her stay in your House without CAGE!!!... you can call me to visit Darling. (fee is RM 50) She stay with a dog, me and my Family in a Non-Halal House! Please NO CAGE!!! She is not a TOY",3,2
